[1.000000 -1.000000] -> [1.387337], y = 1.000000, delta = 0.387337 
[-1.000000 1.000000] -> [0.728185], y = 1.000000, delta = -0.271815 
[-1.000000 -1.000000] -> [1.112917], y = -1.000000, delta = 2.112917 
[1.000000 1.000000] -> [-2.163425], y = -1.000000, delta = -1.163425 
[1.000000 -1.000000] -> [-0.254667], y = 1.000000, delta = -1.254667 
[-1.000000 1.000000] -> [1.612347], y = 1.000000, delta = 0.612347 
[-1.000000 -1.000000] -> [0.613191], y = -1.000000, delta = 1.613191 
[1.000000 1.000000] -> [-1.583383], y = -1.000000, delta = -0.583383 
[1.000000 -1.000000] -> [-0.731533], y = 1.000000, delta = -1.731533 
[-1.000000 1.000000] -> [1.598527], y = 1.000000, delta = 0.598527 
[-1.000000 -1.000000] -> [0.700929], y = -1.000000, delta = 1.700929 
[1.000000 1.000000] -> [-1.374624], y = -1.000000, delta = -0.374624 
[1.000000 -1.000000] -> [-0.900683], y = 1.000000, delta = -1.900683 
[-1.000000 1.000000] -> [1.348456], y = 1.000000, delta = 0.348456 
[-1.000000 -1.000000] -> [0.864098], y = -1.000000, delta = 1.864098 
[1.000000 1.000000] -> [-1.192948], y = -1.000000, delta = -0.192948 
[1.000000 -1.000000] -> [-0.982518], y = 1.000000, delta = -1.982518 
[-1.000000 1.000000] -> [1.070885], y = 1.000000, delta = 0.070885 
[-1.000000 -1.000000] -> [0.960800], y = -1.000000, delta = 1.960800 
[1.000000 1.000000] -> [-1.014470], y = -1.000000, delta = -0.014470 
[1.000000 -1.000000] -> [-0.997832], y = 1.000000, delta = -1.997832 
[-1.000000 1.000000] -> [0.843398], y = 1.000000, delta = -0.156602 
[-1.000000 -1.000000] -> [0.981142], y = -1.000000, delta = 1.981142 
[1.000000 1.000000] -> [-0.856468], y = -1.000000, delta = 0.143532 
[1.000000 -1.000000] -> [-0.975260], y = 1.000000, delta = -1.975260 
[-1.000000 1.000000] -> [0.687318], y = 1.000000, delta = -0.312682 
[-1.000000 -1.000000] -> [0.959746], y = -1.000000, delta = 1.959746 
[1.000000 1.000000] -> [-0.730584], y = -1.000000, delta = 0.269416 
[1.000000 -1.000000] -> [-0.940653], y = 1.000000, delta = -1.940653 
[-1.000000 1.000000] -> [0.587054], y = 1.000000, delta = -0.412946 
[-1.000000 -1.000000] -> [0.926648], y = -1.000000, delta = 1.926648 
[1.000000 1.000000] -> [-0.636527], y = -1.000000, delta = 0.363473 
[1.000000 -1.000000] -> [-0.906916], y = 1.000000, delta = -1.906916 
[-1.000000 1.000000] -> [0.522199], y = 1.000000, delta = -0.477801 
[-1.000000 -1.000000] -> [0.894902], y = -1.000000, delta = 1.894902 
[1.000000 1.000000] -> [-0.567781], y = -1.000000, delta = 0.432219 
[1.000000 -1.000000] -> [-0.878181], y = 1.000000, delta = -1.878181 
[-1.000000 1.000000] -> [0.478716], y = 1.000000, delta = -0.521284 
[-1.000000 -1.000000] -> [0.868092], y = -1.000000, delta = 1.868092 
[1.000000 1.000000] -> [-0.517413], y = -1.000000, delta = 0.482587 
[1.000000 -1.000000] -> [-0.854872], y = 1.000000, delta = -1.854872 
[-1.000000 1.000000] -> [0.448311], y = 1.000000, delta = -0.551689 
[-1.000000 -1.000000] -> [0.846367], y = -1.000000, delta = 1.846367 
[1.000000 1.000000] -> [-0.480009], y = -1.000000, delta = 0.519991 
[1.000000 -1.000000] -> [-0.836248], y = 1.000000, delta = -1.836248 
[-1.000000 1.000000] -> [0.426191], y = 1.000000, delta = -0.573809 
[-1.000000 -1.000000] -> [0.828943], y = -1.000000, delta = 1.828943 
[1.000000 1.000000] -> [-0.451731], y = -1.000000, delta = 0.548269 
[1.000000 -1.000000] -> [-0.821370], y = 1.000000, delta = -1.821370 
[-1.000000 1.000000] -> [0.409529], y = 1.000000, delta = -0.590471 
[-1.000000 -1.000000] -> [0.814930], y = -1.000000, delta = 1.814930 
[1.000000 1.000000] -> [-0.429944], y = -1.000000, delta = 0.570056 
[1.000000 -1.000000] -> [-0.809401], y = 1.000000, delta = -1.809401 
[-1.000000 1.000000] -> [0.396600], y = 1.000000, delta = -0.603400 
[-1.000000 -1.000000] -> [0.803568], y = -1.000000, delta = 1.803568 
[1.000000 1.000000] -> [-0.412844], y = -1.000000, delta = 0.587156 
[1.000000 -1.000000] -> [-0.799676], y = 1.000000, delta = -1.799676 
[-1.000000 1.000000] -> [0.386313], y = 1.000000, delta = -0.613687 
[-1.000000 -1.000000] -> [0.794259], y = -1.000000, delta = 1.794259 
[1.000000 1.000000] -> [-0.399188], y = -1.000000, delta = 0.600812 
[1.000000 -1.000000] -> [-0.791685], y = 1.000000, delta = -1.791685 
[-1.000000 1.000000] -> [0.377952], y = 1.000000, delta = -0.622048 
[-1.000000 -1.000000] -> [0.786548], y = -1.000000, delta = 1.786548 
[1.000000 1.000000] -> [-0.388102], y = -1.000000, delta = 0.611898 
[1.000000 -1.000000] -> [-0.785046], y = 1.000000, delta = -1.785046 
[-1.000000 1.000000] -> [0.371033], y = 1.000000, delta = -0.628967 
[-1.000000 -1.000000] -> [0.780089], y = -1.000000, delta = 1.780089 
[1.000000 1.000000] -> [-0.378969], y = -1.000000, delta = 0.621031 
[1.000000 -1.000000] -> [-0.779471], y = 1.000000, delta = -1.779471 
[-1.000000 1.000000] -> [0.365217], y = 1.000000, delta = -0.634783 
[-1.000000 -1.000000] -> [0.774620], y = -1.000000, delta = 1.774620 
[1.000000 1.000000] -> [-0.371341], y = -1.000000, delta = 0.628659 
[1.000000 -1.000000] -> [-0.774739], y = 1.000000, delta = -1.774739 
[-1.000000 1.000000] -> [0.360263], y = 1.000000, delta = -0.639737 
[-1.000000 -1.000000] -> [0.769944], y = -1.000000, delta = 1.769944 
[1.000000 1.000000] -> [-0.364891], y = -1.000000, delta = 0.635109 
[1.000000 -1.000000] -> [-0.770687], y = 1.000000, delta = -1.770687 
[-1.000000 1.000000] -> [0.355992], y = 1.000000, delta = -0.644008 
[-1.000000 -1.000000] -> [0.765908], y = -1.000000, delta = 1.765908 
[1.000000 1.000000] -> [-0.359373], y = -1.000000, delta = 0.640627 
[1.000000 -1.000000] -> [-0.767187], y = 1.000000, delta = -1.767187 
[-1.000000 1.000000] -> [0.352272], y = 1.000000, delta = -0.647728 
[-1.000000 -1.000000] -> [0.762393], y = -1.000000, delta = 1.762393 
[1.000000 1.000000] -> [-0.354603], y = -1.000000, delta = 0.645397 
[1.000000 -1.000000] -> [-0.764138], y = 1.000000, delta = -1.764138 
[-1.000000 1.000000] -> [0.349001], y = 1.000000, delta = -0.650999 
[-1.000000 -1.000000] -> [0.759306], y = -1.000000, delta = 1.759306 
[1.000000 1.000000] -> [-0.350440], y = -1.000000, delta = 0.649560 
[1.000000 -1.000000] -> [-0.761464], y = 1.000000, delta = -1.761464 
[-1.000000 1.000000] -> [0.346103], y = 1.000000, delta = -0.653897 
[-1.000000 -1.000000] -> [0.756574], y = -1.000000, delta = 1.756574 
[1.000000 1.000000] -> [-0.346772], y = -1.000000, delta = 0.653228 
